timestamp,job_name,status,rows_processed,duration_seconds,partition_path,error_message
2026-02-12T01:00:59.920529,postgres_source.customers,FAILED,0,15.86,,Job execution failed
2026-02-12T01:01:01.168437,postgres_source.orders,FAILED,0,1.17,,Job execution failed
2026-02-12T01:01:01.198743,oracle_db.EMPLOYEES,SECRETS_INVALID,0,0,,Missing secret keys for oracle_db: ['database']
2026-02-12T01:01:02.900829,Source1.products,FAILED,0,1.68,,Job execution failed
2026-02-12T01:01:05.280339,coingecko.crypto_prices,FAILED,0,2.36,,Job execution failed
2026-02-12T01:06:47.108385,postgres_source.orders,SUCCESS,10003,18.27,,
2026-02-12T01:06:57.805551,Source1.users,SUCCESS,3,10.68,,
2026-02-12T01:06:59.169969,coingecko.crypto_prices,FAILED,0,1.34,,Job execution failed
2026-02-12T01:13:08.387961,postgres_source.orders,FAILED,0,3.3,,Job execution failed
2026-02-12T01:13:19.698776,Source1.users,SUCCESS,3,11.28,,
2026-02-12T01:13:21.627637,coingecko.crypto_prices,FAILED,0,1.91,,Job execution failed
2026-02-12T01:15:43.661297,postgres_source.orders,FAILED,0,4.27,,Job execution failed
2026-02-12T01:15:55.311666,Source1.users,SUCCESS,3,11.64,,
2026-02-12T01:15:55.396600,coingecko.crypto_prices,FAILED,0,0.08,,Job execution failed
2026-02-12T01:18:38.181421,postgres_source.orders,SUCCESS,10003,14.82,,
2026-02-12T01:18:50.050969,Source1.users,SUCCESS,3,11.84,,
2026-02-12T10:02:37.059686,postgres_source.orders,SUCCESS,10003,21.29,,
2026-02-12T10:02:52.407935,postgres_source.orders,SUCCESS,9942,15.3,,
2026-02-12T10:02:52.417868,oracle_db.employees,SECRETS_INVALID,0,0,,Missing secret keys for oracle_db: ['database']
2026-02-12T10:03:02.221931,Source1.users,SUCCESS,3,9.79,,
2026-02-12T10:03:12.112169,coingecko.crypto_price,SUCCESS,1,9.88,,
2026-02-12T10:22:13.990843,postgres_source.orders,SUCCESS,10003,17.21,,
2026-02-12T10:22:28.513166,postgres_source.orders,SUCCESS,9942,14.33,,
2026-02-12T10:22:28.764436,oracle_db.employees,SECRETS_INVALID,0,0,,Missing secret keys for oracle_db: ['database']
2026-02-12T10:22:41.132258,Source1.users,SUCCESS,3,12.35,,
2026-02-12T10:22:49.228767,coingecko.crypto_price,SUCCESS,1,8.06,,
2026-02-12T10:23:10.290248,postgres_source.orders,FAILED,0,8.73,,Job execution failed
2026-02-12T10:23:14.159757,postgres_source.orders,FAILED,0,3.86,,Job execution failed
2026-02-12T10:23:14.163849,oracle_db.employees,SECRETS_INVALID,0,0,,Missing secret keys for oracle_db: ['database']
2026-02-12T10:23:17.927524,Source1.users,SUCCESS,0,3.76,,
2026-02-12T10:23:25.144253,coingecko.crypto_price,SUCCESS,1,7.21,,
2026-02-12T10:26:34.028510,postgres_source.orders,SUCCESS,10003,9.34,,
2026-02-12T10:26:42.020300,postgres_source.orders,SUCCESS,9942,7.98,,
2026-02-12T10:26:42.028361,oracle_db.employees,SECRETS_INVALID,0,0,,Missing secret keys for oracle_db: ['database']
2026-02-12T10:26:48.276180,Source1.users,SUCCESS,3,6.24,,
2026-02-12T10:26:53.930619,postgres_source.orders,FAILED,0,6.05,,Job execution failed
2026-02-12T10:26:55.119509,coingecko.crypto_price,FAILED,0,6.83,,Job execution failed
2026-02-12T10:26:56.301958,postgres_source.orders,SUCCESS,0,2.36,,
2026-02-12T10:26:56.309911,oracle_db.employees,SECRETS_INVALID,0,0,,Missing secret keys for oracle_db: ['database']
2026-02-12T10:27:02.442328,Source1.users,SUCCESS,3,6.13,,
2026-02-12T10:27:09.697997,coingecko.crypto_price,SUCCESS,1,7.23,,
2026-02-12T10:28:15.148288,postgres_source.orders,SUCCESS,10003,9.8,,
2026-02-12T10:28:21.104442,postgres_source.orders,FAILED,0,5.95,,Job execution failed
2026-02-12T10:28:21.125079,oracle_db.employees,SECRETS_INVALID,0,0,,Missing secret keys for oracle_db: ['database']
2026-02-12T10:28:26.948511,Source1.users,SUCCESS,0,5.82,,
2026-02-12T10:28:37.831432,coingecko.crypto_price,SUCCESS,1,10.87,,
2026-02-12T10:28:38.097059,postgres_source.orders,FAILED,0,5.18,,Job execution failed
2026-02-12T10:28:48.124155,postgres_source.orders,SUCCESS,9942,10.02,,
2026-02-12T10:28:48.137933,oracle_db.employees,SECRETS_INVALID,0,0,,Missing secret keys for oracle_db: ['database']
2026-02-12T10:28:57.327046,Source1.users,SUCCESS,3,9.18,,
2026-02-12T10:29:07.285193,coingecko.crypto_price,SUCCESS,1,9.93,,
2026-02-12T10:40:39.976446,postgres_source.orders,SUCCESS,10003,10.13,,
2026-02-12T10:40:47.783653,postgres_source.orders,SUCCESS,9942,7.8,,
2026-02-12T10:40:47.795787,oracle_db.employees,SECRETS_INVALID,0,0,,Missing secret keys for oracle_db: ['database']
2026-02-12T10:40:53.983876,Source1.users,SUCCESS,3,6.18,,
2026-02-12T10:41:01.015134,coingecko.crypto_price,SUCCESS,1,7.03,,
2026-02-12T10:50:51.980658,postgres_source.orders,SUCCESS,9942,11.58,,
2026-02-12T10:50:52.030132,oracle_db.employees,SECRETS_INVALID,0,0,,Missing secret keys for oracle_db: ['database']
2026-02-12T10:51:00.443265,Source1.users,SUCCESS,3,8.4,,
2026-02-12T10:51:10.378314,coingecko.crypto_price,SUCCESS,1,9.93,,
